id,objectType,name,definition,component,domain,versionStatus,sourceVersion,sourceAuthority,sourceUrl,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,displayDefinition
"","Derived indicator","Dental utilization ratio","Dental Procedures as % of OPD","Patient services and utilization","Health services and systems","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total OPD","Dental Procedures as % of OPD. Denominator population: Total OPD."
"","Derived indicator","Bed occupancy rate","Percentage of bed occupancy against total beds available in a facility in a given time period","Patient services and utilization","Health services and systems","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total Bed days available (total number of days for which indicator is calculated x total number of beds)","Percentage of bed occupancy against total beds available in a facility in a given time period. Denominator population: Total Bed days available (total number of days for which indicator is calculated x total number of beds)."
"","Derived indicator","HIV positive as % of HIV tested","Proportion of HIV +ve cases(all)out of total tested for HIV.","STI/HIV services","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total HIV test conducted","Proportion of HIV +ve cases(all)out of total tested for HIV. Denominator population: Total HIV test conducted."
"","Derived indicator","Proportion of antenatal women tested for HIV","Proportion of pregnant women who were tested for HIV .","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC Registration","Proportion of pregnant women who were tested for HIV . Denominator population: Total ANC Registration."
"","Derived indicator","HIV prevalence among antenatal (ANC) tested","Proportion of ANC who were found to be HIV +ve after test","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Antenatal women tested for HIV","Proportion of ANC who were found to be HIV +ve after test. Denominator population: Antenatal women tested for HIV."
"","Derived indicator","HIV prevalence among non ANC tested (excluding ANC women)","Proportion of non- ANC who were found to be HIV +ve after test","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","HIV tested (excluding antenatal)","Proportion of non- ANC who were found to be HIV +ve after test. Denominator population: HIV tested (excluding antenatal)."
"","Derived indicator","HIV prevalence amongmales tested","Proportion of HIV+ cases among total number of males tested","STI/HIV services","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","No. of males tested for HIV","Proportion of HIV+ cases among total number of males tested. Denominator population: No. of males tested for HIV."
"","Derived indicator","Annual parasite incidence","Confirmed cases during 1 year/populatio n under surveillance) x 1000.","Vector-borne diseases","Communicable diseases","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","Total population","Confirmed cases during 1 year/populatio n under surveillance) x 1000. Denominator population: Total population."
"","Derived indicator","Annual Blood Examination rate (ABER)","Number of slides examined","Vector-borne diseases","Communicable diseases","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total population","Number of slides examined. Denominator population: Total population."
"","Derived indicator","Diarrhoea incidence under 5 years (per 1,000)","The number of children under 5 years with diarrhoea per 1,000 population under 5 years per year.","Childhood illness","Child, adolescent and nutrition services","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","Total children under 5 years","The number of children under 5 years with diarrhoea per 1,000 population under 5 years per year. Denominator population: Total children under 5 years."
"","Data element","10 year and above to below 19 years","Monthly HMIS reporting element: 10 year and above to below 19 years.","Mortality and death review","Mortality and vital events","Current public form candidate","Revised HMIS formats effective April 2025","Official NHM state-hosted copy","https://nhm.hp.gov.in/reporting-formats","","Not specified","","Not supplied in registry metadata; consult the authoritative source","Monthly HMIS reporting element: 10 year and above to below 19 years. Denominator population: Not supplied in registry metadata; consult the authoritative source."
"","Data element","5 years and above to below 10 years","Monthly HMIS reporting element: 5 years and above to below 10 years.","Mortality and death review","Mortality and vital events","Current public form candidate","Revised HMIS formats effective April 2025","Official NHM state-hosted copy","https://nhm.hp.gov.in/reporting-formats","","Not specified","","Not supplied in registry metadata; consult the authoritative source","Monthly HMIS reporting element: 5 years and above to below 10 years. Denominator population: Not supplied in registry metadata; consult the authoritative source."
