legacy_item_code_as_published,normalized_item_code,parameter_label,reported_types,geographies_observed,resource_rows,source_period,currentness
'16.7.14',16.7.14,Number of Adolscent / Adult deaths due to Causes not known,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.2',16.7.2,Number of Adolscent / Adult deaths due to Tuberculosis,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.3',16.7.3,Number of Adolscent / Adult deaths due to Respiratory diseases including infections (other than TB),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.4',16.7.4,Number of Adolscent / Adult deaths due to Other Fever Related,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.5',16.7.5,Number of Adolscent / Adult deaths due to HIV/AIDS,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.6',16.7.6,Number of Adolscent / Adult deaths due to Heart disease/Hypertension related,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.7',16.7.7,Number of Adolscent / Adult deaths due to Cancer,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.8',16.7.8,Number of Adolscent / Adult deaths due to Neurological disease including strokes,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.9',16.7.9,Number of Adolscent / Adult deaths due to Accidents/Burn cases,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.8.1',16.8.1,Number of Deaths due to Malaria- Plasmodium Vivax,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.8.2',16.8.2,Number of Deaths due to Malaria- Plasmodium Falciparum,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.8.3',16.8.3,Number of Deaths due to Kala Azar,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.8.4',16.8.4,Number of Deaths due to Dengue,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.8.5',16.8.5,Number of Deaths due to Acute Encephelitis Syndrome (AES),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.8.6',16.8.6,Number of Deaths due to Japanese Encephalitis (JE),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.1',17.1,Vaccine - DPT,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.10',17.10,Vaccine - Typhoid,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.11',17.11,Vaccine - Vitamin K,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.12',17.12,Rotavirus,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.13',17.13,Inactivated Polio Vaccine,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.14',17.14,Measles Rubella (MR),1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.2',17.2,Vaccine - Pentavalent,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.3',17.3,Vaccine - OPV,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.4',17.4,Vaccine - TT,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.5',17.5,Vaccine - DT,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.6',17.6,Vaccine - BCG,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.7',17.7,Vaccine - Measles,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.8',17.8,Vaccine - JE,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'17.9',17.9,Vaccine - Hepatitis B,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'18.1',18.1,IUD 380 A,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'18.2',18.2,IUD 375 A,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'18.3',18.3,Condoms,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'18.4',18.4,Oral Contraceptive,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'18.5',18.5,Emergency Contraceptive Pills,1. Balance From Previous Month,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
